"UOT Leave Request","طلب إجازة",
"Leave Request List","قائمة الاجازات",
"Leave Request","الاجازات",
"HR Managment","ادارة الموارد البشرية",
"UOT Employees","الموظفون",
"UOT Departments","الشعب و الاقسام",
"Departments","الشعب و الاقسام",
"UOT Leave Type","نوع الإجازة",
"UOT Employee Type","صنف الموظف",
"UOT HR","نظام الموارد البشرية",
"Employee id","الرقم الوظيفي",
"Leave Type","نوع الإجازة",
"Leave from Day","من تاريخ",
"Leave to Day","إلى تاريخ",
"Full Name","الاسم الكامل",
"Days of Leave","عدد أيام الإجازة",
"Reason for leave","سبب الإجازة",
"Attachment for Leave Request","مرفق طلب الإجازة",
"Amended From","معدل من",
"user email","البريد الإلكتروني للمستخدم",
"Line Manager Email","البريد الإلكتروني للمدير المباشر",
"First name","الاسم الأول",
"Father Name","اسم الأب",
"Grandfather Name","اسم الجد",
"Great Grandfather Name","اسم والد الجد",
"Family Name","اللقب",
"employee full name","الاسم الكامل للموظف",
"Employee ID","الرقم الوظيفي",
"Date of birth","تاريخ الميلاد",
"Employee Natioinal ID number","رقم الهوية الوطنية",
"Phone Number","رقم الهاتف",
"employee type","صنف الموظف",
"Date of Appointment","تاريخ التعيين",
"employee user","حساب المستخدم",
"Employee Department or Division","القسم او الشعبة للموظف",
"department manager user","حساب مدير القسم",
"Department Name","اسم القسم او الشعبة",
"Department Short Name","مختصر اسم القسم او الشعبة",
"Manager User","حساب المدير",
"Department Manager","مدير القسم او الشعبة",
"Employee Type","نوع الموظف",
"Pending","قيد الانتظار",
"Approved","موافق عليه",
"Rejected","مرفوض",
"approved by the line manager","موافقة المدير المباشر",
"Approved by the Administrative Associate","موافقة المعاون الإداري",
"Approve","موافقة",
"Reject","رفض",
"Review","مراجعة",
"New Leave Request","طلب إجازة جديد",
"Save","حفظ",
"Submit","تقديم",
"Cancel","إلغاء",
"Amend","تعديل",
"Delete","حذف",
"Edit","تحرير",
"New","جديد",
"Search","بحث",
"Filter","تصفية",
"List","قائمة",
"Form","نموذج",
"Print","طباعة",
"Email","بريد إلكتروني",
"Attach","إرفاق",
"Add Row","إضافة صف",
"Remove Row","حذف صف",
"Status","الحالة",
"Date","التاريخ",
"Name","الاسم",
"Description","الوصف",
"Created By","أنشئ بواسطة",
"Modified By","عدل بواسطة",
"Owner","المالك",
"Creation","تاريخ الإنشاء",
"Modified","تاريخ التعديل",
"No","لا",
"Yes","نعم",
"Actions","الإجراءات",
"Close","إغلاق",
"Back","رجوع",
"Next","التالي",
"Previous","السابق",
"Loading","جاري التحميل",
"Success","تم بنجاح",
"Error","خطأ",
"Warning","تحذير",
"Info","معلومات",
"Refresh","تحديث",
"Download","تنزيل",
"Upload","رفع",
"Export","تصدير",
"Import","استيراد",
"Settings","الإعدادات",
"Profile","الملف الشخصي",
"Logout","تسجيل الخروج",
"Login","تسجيل الدخول",
"Home","الرئيسية",
"Dashboard","لوحة التحكم",
"Report","تقرير",
"Leave Requests","طلبات الإجازة",
"Total Leave Requests","إجمالي طلبات الإجازة",
"Pending Leave Requests","طلبات الإجازة قيد الانتظار",
"Approved Leave Requests","طلبات الإجازة الموافق عليها",
"Rejected Leave Requests","طلبات الإجازة المرفوضة",
"No permission for UOT Employees","لا توجد صلاحية للوصول إلى بيانات الموظفين",
"You do not have Read or Select Permissions for UOT Employees","ليس لديك صلاحية القراءة أو التحديد لبيانات الموظفين",
"Not permitted","غير مسموح",
"Insufficient Permission","صلاحية غير كافية",
"This document is currently queued for submission. You will be notified if the submission fails.","هذه الوثيقة في قائمة الانتظار للتقديم. سيتم إعلامك في حال فشل التقديم.",
"Saved","تم الحفظ",
"Submitted","تم التقديم",
"Cancelled","تم الإلغاء",
"Draft","مسودة",
"leave reques approval workflow","سير عمل الموافقة على طلب الإجازة",
"UOT Dean","عميد الكلية",
"UOT HR Manager","مدير الموارد البشرية",
"UOT Administrative Associate","المعاون الإداري",
"UOT Department manager","رئيس القسم او مدير الشعبة",
"UOT Employee","موظف",
"are you sure you want to cancel this document?","هل أنت متأكد أنك تريد إلغاء هذه الوثيقة؟",
"are you sure you want to submit this document?","هل أنت متأكد أنك تريد تقديم هذه الوثيقة؟",
"Attach File","إرفاق ملف",
"No attachments","لا توجد مرفقات",
"Add Comment","إضافة تعليق",
"Comments","التعليقات",
"Attachments","المرفقات",
"Assign To","تعيين إلى",
"Share","مشاركة",
"Print Format","تنسيق الطباعة",
"Maternity leave form","استمارة إجازة الأمومة",
"UOT leave request","طلب إجازة",
"Departments or Divisions","الشعب و الاقسام",
"Employees","الموظفون",
"HR Management","ادارة الموارد البشرية",
